AT1,AT2,AT3,AT4,AT5,MOT1,MOT2,MOT3,MOT4,MOT5,WP1,WP2,WP3,WP4,WP5,VAL1,VAL2,VAL3,VAL4,VAL5,EE1,EE2,EE3,EE4,EE5
4,3,5,3,4,4,5,3,4,4,4,2,5,3,2,3,3,2,5,4,3,3,2,2,3
4,2,5,3,4,5,1,5,4,3,5,2,4,4,5,3,3,4,5,4,3,3,4,4,5
5,4,3,3,4,5,3,3,4,5,4,4,3,4,5,5,5,1,2,4,5,4,2,1,3
5,4,4,3,2,4,5,5,5,4,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4
4,5,3,3,4,4,3,3,5,4,4,4,2,4,5,5,5,4,3,3,5,3,3,4,5
5,4,4,4,5,5,4,5,4,5,3,3,4,4,3,3,3,4,1,5,3,2,3,4,4
5,5,4,2,5,4,5,3,5,5,3,3,2,5,4,5,5,5,5,4,5,2,1,5,4
4,5,4,3,3,5,4,2,4,4,4,3,5,3,2,3,3,2,5,4,3,4,1,2,3
5,4,5,4,4,3,5,4,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
5,5,3,4,2,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,2,1,1,3
4,4,4,4,5,3,2,3,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,5,5,4,5,4,5,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,4,3,4,5,4,4,4,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
4,3,5,3,4,4,5,3,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
4,5,4,4,3,4,5,5,4,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,4,5,4,4,3,5,2,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
5,5,3,4,2,5,4,5,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
4,4,4,4,5,3,2,3,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
5,4,3,4,5,4,4,4,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
4,3,5,3,4,4,5,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
4,5,4,4,3,4,5,5,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
4,4,4,4,5,3,2,3,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,3,5,3,4,4,5,3,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,5,4,4,3,4,5,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,4,2,3,4,5,3,3,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,4,4,3,2,4,5,5,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
4,5,3,3,4,4,3,3,2,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,4,4,4,5,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,3,3,1,3
5,5,4,2,5,4,5,3,5,4,4,3,2,4,5,5,5,4,3,3,5,4,4,4,5
4,5,4,3,3,5,4,2,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4
5,4,4,4,5,5,4,5,5,4,4,3,5,5,4,5,5,5,2,4,5,3,3,5,3
4,5,2,3,3,5,4,2,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,4,5,2,4,3,5,4,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,5,3,3,2,5,4,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
4,4,4,3,5,3,2,3,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
5,4,3,4,5,4,4,4,3,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
4,3,5,3,4,4,5,3,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
4,2,5,3,4,5,2,5,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
5,4,2,3,4,5,3,3,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
5,4,4,3,2,4,5,5,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
4,5,3,3,4,4,3,3,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
5,4,4,4,5,5,4,5,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
5,5,4,3,5,4,5,3,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,4,4,3,2,4,5,5,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,5,3,3,4,4,3,3,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,4,4,4,5,5,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,5,4,2,5,4,5,3,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
4,5,1,3,3,5,4,2,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
5,4,5,4,4,3,5,5,4,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,5,3,4,2,5,4,5,5,4,4,4,2,4,5,5,5,4,3,3,5,3,3,4,5
4,4,4,4,5,3,2,3,4,5,3,3,4,4,3,3,3,4,1,5,3,2,3,4,4
5,5,5,4,5,4,5,5,5,5,3,3,2,5,4,5,5,5,5,4,5,2,1,5,4
5,4,3,4,5,4,4,4,4,4,4,3,5,3,2,3,3,2,5,4,3,4,1,2,3
4,3,5,3,4,4,5,3,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
4,5,4,4,3,4,5,5,4,5,4,3,3,4,5,5,5,1,2,4,5,2,1,1,3
5,4,5,4,4,3,5,2,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
5,5,3,4,2,5,4,5,4,5,3,2,4,4,3,3,3,4,1,5,3,3,3,4,4
4,4,4,4,5,3,2,3,5,4,4,3,5,5,4,5,5,5,2,4,5,2,2,5,3
5,5,5,4,5,4,5,5,5,5,4,3,5,4,5,3,3,5,1,4,3,2,2,5,4
5,4,3,4,5,4,4,4,4,5,1,4,3,5,4,2,2,4,5,3,2,4,3,4,3
4,3,5,3,4,4,5,3,5,4,5,3,4,3,5,2,2,4,4,5,2,4,3,4,4
4,5,4,4,3,4,5,5,5,5,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4
5,4,2,3,4,5,3,3,4,4,4,4,5,3,2,3,3,2,5,4,3,4,3,2,3
4,5,4,3,3,5,4,2,4,3,5,4,4,4,5,3,3,4,5,4,3,4,4,4,5
5,4,4,4,5,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,3,3,1,3
5,5,4,2,5,4,5,3,5,4,4,3,2,4,5,5,5,4,3,3,5,4,4,4,5
5,4,4,3,2,4,5,5,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4
4,5,3,3,4,4,3,3,5,4,4,3,5,5,4,5,5,5,2,4,5,3,3,5,3
5,4,4,4,5,5,4,5,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,5,4,2,5,4,5,3,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
4,5,4,3,3,5,4,2,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
5,4,5,4,4,3,5,3,2,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,5,3,4,2,5,4,5,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
4,4,4,4,5,3,2,3,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
5,5,5,4,5,4,5,5,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
5,4,3,4,5,4,4,4,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
4,3,5,3,4,4,5,3,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
4,5,4,4,3,4,5,5,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
5,4,5,4,4,3,5,2,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,5,3,4,2,5,4,5,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,4,4,4,5,3,2,3,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,3,5,3,4,4,5,3,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
4,5,4,4,3,4,5,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,4,5,4,4,3,5,2,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
5,5,3,4,2,5,4,5,4,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
4,4,4,4,5,3,2,3,4,4,4,3,5,3,2,3,3,2,5,4,3,4,1,2,3
5,5,5,4,5,4,5,5,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
5,4,3,4,5,4,4,4,4,5,4,3,3,4,5,5,5,1,2,4,5,2,1,1,3
4,3,5,3,4,4,5,3,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
4,5,4,4,3,4,5,5,4,5,3,2,4,4,3,3,3,4,1,5,3,3,3,4,4
4,4,4,4,5,3,2,3,5,4,4,3,5,5,4,5,5,5,2,4,5,2,2,5,3
4,3,5,3,4,4,5,3,5,5,4,3,5,4,5,3,3,5,1,4,3,2,2,5,4
4,5,4,4,3,4,5,5,4,5,1,4,3,5,4,2,2,4,5,3,2,4,3,4,3
5,4,2,3,4,5,3,3,5,5,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4
5,4,4,3,2,4,5,5,4,4,4,4,5,3,2,3,3,2,5,4,3,4,3,2,3
4,5,3,3,4,4,3,3,4,3,5,4,4,4,5,3,3,4,5,4,3,4,4,4,5
5,4,4,4,5,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,3,3,1,3
5,5,4,2,5,4,5,3,5,4,4,3,2,4,5,5,5,4,3,3,5,4,4,4,5
4,5,4,3,3,5,4,2,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4
5,4,4,4,5,5,4,5,5,4,4,3,5,5,4,5,5,5,2,4,5,3,3,5,3
4,5,4,3,3,5,4,2,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,4,5,4,4,3,5,2,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,5,3,3,2,5,4,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,5,3,4,2,5,4,5,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
4,4,4,4,5,3,2,3,1,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,5,5,4,5,4,5,5,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
5,4,3,4,5,4,4,4,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
4,3,5,3,4,4,5,3,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
4,5,4,4,3,4,5,5,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
4,4,4,4,5,3,2,3,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
4,3,5,3,4,4,5,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
4,5,4,4,3,4,5,5,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,4,2,3,4,5,3,3,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
5,4,4,3,2,4,5,5,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,5,3,3,4,4,3,3,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,5,4,2,5,4,5,3,4,5,4,4,3,4,5,5,5,1,2,4,5,4,2,1,3
4,5,3,3,3,5,4,2,5,4,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4
5,4,4,4,5,5,4,5,5,4,4,4,2,4,5,5,5,4,3,3,5,3,3,4,5
4,5,4,3,3,5,4,2,4,5,3,3,4,4,3,3,3,4,1,5,3,2,3,4,4
5,4,5,2,4,3,5,3,5,5,3,3,2,5,4,5,5,5,5,4,5,2,1,5,4
4,4,4,4,5,3,2,3,4,4,4,3,5,3,2,3,3,2,5,4,3,4,1,2,3
5,5,5,4,5,4,5,5,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
5,4,3,4,5,4,4,4,4,5,4,3,3,4,5,5,4,1,2,4,5,2,1,1,3
4,3,5,3,4,4,5,3,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
4,5,4,4,3,4,5,5,4,5,4,3,3,4,5,5,5,1,2,4,5,2,1,1,3
4,4,4,4,5,3,2,3,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
4,3,5,3,4,4,5,3,4,5,3,2,4,4,3,3,3,4,1,5,3,3,3,4,4
4,5,4,4,3,4,5,5,5,4,4,3,5,5,4,5,5,5,2,4,5,2,2,5,3
5,4,3,3,4,5,3,3,5,5,4,3,5,4,5,3,3,5,1,4,3,2,2,5,4
5,4,4,3,2,4,5,5,4,5,4,4,3,5,4,2,2,4,5,3,2,4,3,4,3
4,5,3,3,4,4,3,3,5,4,5,3,4,3,5,2,2,4,4,5,2,4,3,4,4
5,4,4,4,5,5,4,5,5,5,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4
5,5,4,2,5,4,5,3,4,4,4,4,5,3,2,3,3,2,5,4,3,4,3,2,3
4,5,4,3,3,5,4,2,4,3,5,4,4,4,5,3,3,4,5,4,3,4,4,4,5
5,4,4,4,5,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,3,3,1,3
4,5,2,3,3,5,4,2,5,4,4,3,2,4,5,5,5,4,3,3,5,4,4,4,5
5,4,5,4,4,3,5,4,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4
5,5,3,3,2,5,4,5,5,4,4,3,5,5,4,5,5,5,2,4,5,3,3,5,3
5,5,3,4,3,5,4,5,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,4,4,4,5,3,2,3,3,3,4,4,3,3,3,4,3,5,3,4,3,4,4,4,3
5,5,5,4,5,4,5,5,1,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,4,3,4,5,4,4,4,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
4,3,5,3,4,4,5,3,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
5,4,4,4,5,5,4,5,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
5,5,4,2,5,4,5,3,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
4,5,2,3,3,5,4,2,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
5,4,4,4,5,5,4,5,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
4,5,2,3,3,5,4,4,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,4,5,4,4,3,5,3,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,4,4,4,5,3,2,3,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,5,5,4,5,4,5,5,3,3,4,4,3,3,3,4,2,5,3,4,3,4,4,4,3
5,4,3,4,5,4,4,4,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
4,3,5,3,4,4,5,3,4,2,5,4,5,3,3,5,3,4,3,4,4,5,4,2,2
4,5,4,4,3,4,5,5,1,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
4,4,4,4,5,3,2,3,4,4,4,1,5,3,2,3,3,2,5,4,3,4,1,2,3
4,3,5,3,4,4,5,3,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
4,5,4,4,3,4,5,5,4,5,4,3,3,4,5,5,5,4,2,4,5,2,1,1,3
5,4,3,3,4,5,3,3,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
5,4,4,3,2,4,5,5,4,5,3,2,4,4,3,3,3,4,3,5,3,3,3,4,4
4,5,3,3,4,4,3,3,5,4,5,4,5,5,4,5,5,5,2,4,5,2,2,5,3
5,4,4,4,5,5,4,5,5,5,5,4,5,4,5,3,3,5,1,4,3,2,2,5,4
5,5,4,2,5,4,5,3,4,4,4,4,5,3,2,3,3,2,5,4,3,4,3,2,3
4,5,1,3,3,5,4,3,4,3,5,4,4,4,5,3,3,4,5,4,3,4,4,4,5
5,4,4,4,5,5,4,5,4,5,4,3,3,4,5,5,5,1,2,4,5,3,3,1,3
4,5,4,3,3,5,4,3,5,4,4,3,2,4,5,5,5,4,3,3,5,4,4,4,5
5,4,5,4,4,3,5,4,4,5,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4
4,4,4,5,5,4,5,5,5,4,4,3,5,5,4,5,5,5,2,4,5,3,3,5,3
5,4,3,3,5,4,3,4,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,5,2,4,3,5,3,4,3,3,4,4,3,3,3,4,4,5,3,4,3,4,4,4,3
5,3,3,2,5,4,5,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,3,4,2,5,4,5,5,4,2,5,4,5,3,3,5,4,4,3,4,4,5,4,2,2
4,4,4,5,3,3,3,3,1,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
5,5,4,5,4,5,5,5,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
4,3,4,5,4,4,4,4,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
3,5,3,4,4,5,4,3,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
4,4,4,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
5,4,2,5,4,5,3,3,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
5,4,3,3,5,4,3,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
4,4,4,5,5,4,5,5,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,1,3,3,5,4,3,2,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,5,4,4,3,5,2,4,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
4,4,4,5,3,2,3,3,3,3,4,4,3,3,3,4,1,5,3,4,3,4,4,4,3
5,5,4,5,4,5,5,5,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
4,3,4,5,4,4,4,4,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
3,5,3,4,4,5,3,3,4,2,5,4,5,3,3,5,1,4,3,4,4,5,4,2,2
5,4,4,3,4,5,5,5,4,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
4,4,4,5,3,2,3,3,5,4,4,3,5,2,2,4,4,5,2,4,4,4,4,3,4
4,5,3,3,4,4,3,3,3,4,2,5,4,5,5,5,5,4,5,4,4,5,4,3,4
5,4,4,4,5,5,4,5,4,4,5,3,2,3,3,2,5,4,3,4,4,2,3,1,4
5,5,4,2,5,4,5,3,5,4,5,4,5,5,5,4,5,5,5,4,3,4,4,5,4
4,5,2,3,3,5,4,2,3,4,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4
5,4,4,4,5,5,4,5,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5,3,3
4,5,2,3,3,5,4,3,4,4,3,4,5,5,5,1,2,4,5,4,4,1,3,5,4
5,4,5,4,4,3,5,4,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4,4,3
4,4,4,5,5,4,5,5,4,3,2,4,5,5,5,4,3,3,5,4,3,4,5,5,3
5,2,3,3,5,4,3,2,3,3,4,4,3,3,3,4,3,5,3,4,3,4,4,4,3
4,5,4,4,3,5,2,3,4,4,5,5,4,5,5,5,2,4,5,4,4,5,3,3,4
5,3,3,2,5,4,5,5,4,2,5,4,5,3,3,5,4,4,3,4,4,5,4,2,2
5,3,4,2,5,4,5,5,1,3,3,5,4,2,2,4,5,3,2,3,3,4,3,4,3
4,4,4,5,3,2,3,3,4,4,4,3,5,3,2,3,3,2,5,4,3,4,1,2,3
5,5,4,5,4,5,5,5,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
4,3,4,5,4,4,4,4,4,5,4,1,3,4,5,5,5,4,2,4,5,2,1,1,3
3,5,3,4,4,5,3,3,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
4,4,4,5,5,4,5,5,4,5,3,2,4,4,3,3,3,4,3,5,3,3,3,4,4
5,4,2,5,4,5,3,3,5,4,4,1,5,5,4,5,5,5,2,4,5,2,2,5,3
5,2,3,3,5,4,3,4,5,5,4,4,5,4,5,3,3,5,4,4,3,4,4,5,4
4,4,4,5,5,4,5,5,4,5,1,1,3,5,4,2,2,4,5,3,2,2,1,4,3
5,1,3,3,5,4,2,3,5,4,5,4,4,3,5,2,2,4,4,5,2,4,3,4,4
4,5,4,4,3,5,2,4,5,5,3,3,2,5,4,5,5,5,5,4,5,3,2,5,4
4,4,4,5,3,2,3,3,4,4,4,2,5,3,2,3,3,2,5,4,3,3,2,2,3
4,5,3,3,4,4,3,3,4,3,5,2,4,4,5,3,3,4,5,4,3,3,4,4,5
5,4,4,4,5,5,4,5,4,5,4,4,3,4,5,5,5,4,2,4,5,4,2,1,3
5,5,4,2,5,4,5,3,5,4,2,3,4,5,3,3,3,5,4,5,3,3,3,5,4
4,5,4,3,3,5,4,3,5,4,4,4,2,4,5,5,5,4,3,3,5,3,3,4,5
5,4,4,4,5,5,4,5,4,5,3,3,4,4,3,3,3,4,3,5,3,2,3,4,4
4,5,2,3,3,5,4,5,5,5,3,3,2,5,4,5,5,5,5,4,5,2,1,5,4
5,4,5,4,4,3,5,3,4,4,4,1,5,3,2,3,3,2,5,4,3,4,1,2,3
4,4,4,5,5,4,5,5,4,3,5,3,4,4,5,3,3,4,5,4,3,3,3,4,5
5,2,3,3,5,4,2,4,4,5,4,1,3,4,5,5,5,1,2,4,5,2,1,1,3
4,5,3,4,3,5,2,2,5,4,4,3,2,4,5,5,5,4,3,3,5,1,2,4,5
5,3,3,2,5,4,5,5,4,5,3,2,4,4,3,3,3,4,1,5,3,3,3,4,4
